"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","l_GM","attendance.f","career","years_old","teamID.1","teamID.2","teamID.3","teamID.4","teamID.5","teamID.6","teamID.7","teamID.8","teamID.9","teamID.10","teamID.11","teamID.12","teamID.13","teamID.14","teamID.15","teamID.16","teamID.17","teamID.18","teamID.19","teamID.20","teamID.21","teamID.22","teamID.23","teamID.24","teamID.25","teamID.26","teamID.27","teamID.28","teamID.29","teamID.30","teamID.31","teamID.32","teamID.33","throws.1","throws.2","stint.1","stint.2","stint.3","stint.4"
"1033",2010,4,1,0,0,0,24,144,31,15,5,20,47,1,3,2,1,196,35,17,2,1,2,2.8125,0.158163265306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,80,98,5e+06,48,3,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"1034",2008,3,5,0,0,0,5,190,47,22,7,26,83,2,5,0,0,264,18,24,0,3,0,3.12631578947368,0.178030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,79,102,1615000,58,1,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"1035",1999,3,1,0,0,0,1,156,56,28,7,25,50,2,2,1,0,237,15,35,1,4,4,4.84615384615385,0.236286919831224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,67,98,625000,69,2,3,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1036",2010,8,14,32,0,0,0,583,209,92,19,63,144,5,2,6,0,843,0,97,8,0,13,4.26072041166381,0.247924080664294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,108,475000,0,3,2,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"1037",2011,0,0,0,0,0,0,101,37,25,5,26,32,4,0,1,0,162,7,25,3,0,0,6.68316831683168,0.228395061728395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,74,98,2800000,39,0,7,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"1038",2002,9,5,21,2,1,0,355,124,62,12,20,62,0,0,7,0,490,0,64,2,5,10,4.71549295774648,0.253061224489796,1,2,1,3,3,0,0,0,55,19,4,1,2,11,0,0,1,0,77,0,8,1,0,1,1.96363636363636,0.246753246753247,0,0,1,94,100,8750000,0,1,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"1039",2014,12,4,26,2,0,0,522,129,42,13,39,208,2,3,11,0,685,0,48,2,3,13,2.17241379310345,0.188321167883212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,73,101,6e+06,0,0,4,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1040",2014,4,5,0,0,0,0,196,53,17,9,16,62,3,1,2,0,265,25,19,1,0,2,2.34183673469388,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77,91,1375000,70,1,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"1041",1998,4,0,0,0,0,2,197,69,27,7,20,44,5,3,0,0,278,11,28,2,2,7,3.7005076142132,0.248201438848921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,89,95,730000,68,1,8,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1042",2015,10,9,31,1,0,0,541,194,74,18,46,116,2,4,2,2,750,0,82,3,2,23,3.69316081330869,0.258666666666667,1,0,1,1,1,0,0,0,9,7,6,1,0,3,0,0,0,0,16,0,6,0,0,0,18,0.4375,0,0,1,92,98,15800000,0,3,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
