"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR","l_GM","attendance.f","career","years_old","throws.1","throws.2","salary.n","b1.l_W","b1.l_GS","b1.l_GM","b1.l_CG","b1.l_ER","b1.l_IPouts","b1.l_H","b1.l_HR","b1.l_BB","b1.l_SO","b1.BSR","b2.l_W","b2.l_GS","b2.l_GM","b2.l_CG","b2.l_ER","b2.l_IPouts","b2.l_H","b2.l_HR","b2.l_BB","b2.l_SO","b2.BSR"
"5073",2014,14,13,33,4,2,0,663,188,71,22,51,186,4,1,4,1,884,0,82,13,4,13,2.89140271493213,0.212669683257919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,79,99,1e+06,1.0814479638009,3.50316742081448,2.71207838649905,17118.6801410313,7.23257918552036,97.274233121723,0,1,3,23,1,0,3103698.21428571,14,30,0,0,66,557,173,22,45,170,96.7753820263104,0,1,1,0,4,19,5,0,1,5,1.3343701399689
"5074",2015,11,8,33,0,0,0,602,189,90,27,73,171,3,2,9,0,843,0,99,10,3,15,4.03654485049834,0.224199288256228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67,97,3466666,1.30564784053156,4.42591362126246,4.07263079237654,12014.4977136934,6.70960854092527,120.188465647388,0,1,4,24,1,0,1585155.27272727,14,33,0,4,71,663,188,22,51,186,97.274233121723,14,30,0,0,66,557,173,22,45,170,96.7753820263104
"5075",2008,2,2,1,0,0,0,136,27,20,4,24,45,0,5,1,0,186,15,23,0,3,2,3.97058823529412,0.145161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,79,102,437000,1.125,4.01617647058824,2.43326017552182,12843.6655354933,6.69032258064516,17.1724725660629,28,1,3,26,1,0,1861001.17391304,5,19,0,0,70,286,110,17,60,69,87.3157338965153,5,14,0,0,35,221,83,10,32,40,54.1065024023539
"5076",2009,4,2,6,0,0,0,221,43,29,4,50,87,2,6,3,1,313,5,30,2,1,4,3.54298642533937,0.137380191693291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,65,99,950000,1.26244343891403,3.62081447963801,2.67605802263889,13970.4171265888,6.78019169329074,25.4448172605722,29,0,4,27,1,0,2485976.19047619,2,1,28,0,20,136,27,4,24,45,17.1724725660629,5,19,0,0,70,286,110,17,60,69,87.3157338965153
"5077",2010,3,5,0,0,0,0,183,55,24,5,26,56,1,4,0,1,258,12,28,2,3,4,3.54098360655738,0.213178294573643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67,101,1550000,1.32786885245902,3.65901639344262,3.49992041555471,14260.7092279726,6.84186046511628,30.1706992779951,54,0,5,28,1,0,2558011.05263158,4,6,29,0,29,221,43,4,50,87,25.4448172605722,2,1,28,0,20,136,27,4,24,45,17.1724725660629
"5078",2011,0,1,0,0,0,0,22,12,5,2,3,2,0,2,0,0,35,3,5,0,1,2,6.13636363636364,0.342857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,71,101,1550000,2.04545454545455,7.42727272727273,9.94343831168831,8229.13057089565,5.05714285714286,9.83953012178036,9,0,6,29,1,0,1437760,3,0,54,0,24,183,55,5,26,56,30.1706992779951,4,6,29,0,29,221,43,4,50,87,25.4448172605722
"5079",2003,3,4,6,0,0,2,243,82,42,6,36,58,3,0,1,0,353,10,44,8,1,7,4.66666666666667,0.232294617563739,1,0,1,2,0,0,0,0,4,2,1,0,0,1,0,0,0,0,6,1,1,0,0,0,6.75,0.333333333333333,0,0,2,91,98,3e+05,1.45679012345679,3.99012345679012,4.13288504878816,10499.3632621463,6.21586402266289,44.2597634375313,44,0,4,27,0,1,1194148.4375,8,18,29,0,69,419,144,17,60,95,90.4439121461325,0,1,2,0,8,19,10,1,5,7,7.80404138181378
"5080",2004,0,1,2,0,0,0,28,15,14,1,9,10,0,0,2,0,52,1,14,0,0,0,13.5,0.288461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,83,95,3e+05,2.57142857142857,5.98571428571429,11.6658410714286,3518.30514957285,5.16923076923077,11.3623855129438,6,0,5,28,0,1,1961077.8,3,6,44,0,42,243,82,6,36,58,44.2597634375313,8,18,29,0,69,419,144,17,60,95,90.4439121461325
"5081",2005,0,0,0,0,0,0,6,5,3,1,1,2,0,1,1,0,13,1,3,0,0,0,13.5,0.384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,79,106,3e+05,3,10.7,21.6058230769231,3925.68785110234,5.4,5.0617042115573,3,2,6,29,0,1,1658732.48,0,2,6,0,14,28,15,1,9,10,11.3623855129438,3,6,44,0,42,243,82,6,36,58,44.2597634375313
"5082",2000,1,3,2,0,0,0,73,25,18,6,14,22,0,1,0,0,107,2,22,0,2,3,6.65753424657534,0.233644859813084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65,101,375000,1.6027397260274,6.32328767123288,6.23739068621175,7584.93095549726,6.29719626168224,23.23630831643,11,0,4,26,1,0,1369588.23529412,4,0,49,0,34,159,52,10,26,43,41.0825254566578,7,18,23,0,65,446,150,18,46,78,87.8813758946637
"5083",2001,5,5,14,1,0,0,268,93,55,15,32,59,3,3,9,0,388,2,59,5,2,10,5.5410447761194,0.239690721649485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86,98,375000,1.39925373134328,5.33805970149254,5.06971224226804,8842.56138262023,6.04948453608247,64.2506307951889,10,0,5,27,1,0,1496960.76470588,1,2,11,0,18,73,25,6,14,22,23.23630831643,4,0,49,0,34,159,52,10,26,43,41.0825254566578
"5084",2003,1,4,8,0,0,0,136,41,20,5,11,29,2,3,7,0,194,0,22,3,1,3,3.97058823529412,0.211340206185567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,93,525000,1.14705882352941,4.41323529411765,3.48349335203153,11710.4009294204,6.20412371134021,22.2801296122086,0,1,7,29,1,0,1815156.25,5,14,10,1,55,268,93,15,32,59,64.2506307951889,1,2,11,0,18,73,25,6,14,22,23.23630831643
