"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR","l_GM","attendance.f","career","years_old","teamID.1","teamID.2","teamID.3","teamID.4","teamID.5","teamID.6","teamID.7","teamID.8","teamID.9","teamID.10","teamID.11","teamID.12","teamID.13","teamID.14","teamID.15","teamID.16","teamID.17","teamID.18","teamID.19","teamID.20","teamID.21","teamID.22","teamID.23","teamID.24","teamID.25","teamID.26","teamID.27","teamID.28","teamID.29","teamID.30","teamID.31","teamID.32","teamID.33","throws.1","throws.2"
"6739",2001,4,5,10,0,0,0,170,56,29,9,30,60,4,1,0,0,253,0,30,3,2,0,4.60588235294118,0.221343873517787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,68,99,252500,1.51764705882353,4.52352941176471,4.7899749197861,10746.4747127606,7.01264822134387,41.5649479179553,0,2,1,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6740",2002,6,11,25,1,1,0,417,159,89,28,68,93,3,6,4,0,634,0,100,6,3,12,5.76258992805755,0.250788643533123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,56,99,252500,1.63309352517986,5.96978417266187,6.15501594932256,8589.36673505713,5.85425867507886,125.200909620825,1,1,2,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6741",2003,1,4,8,0,0,0,128,53,32,12,23,19,1,0,0,0,196,0,32,1,3,4,6.75,0.270408163265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,68,100,252500,1.78125,7.5125,7.68750149075255,7406.95820962706,5.21632653061225,49.0971799186929,1,0,3,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6742",2012,6,6,22,0,0,0,409,142,57,14,42,81,4,10,3,2,568,2,62,5,1,14,3.76283618581907,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,85,106,5e+05,1.34963325183374,4.24889975550122,4.12947239230001,14084.2660622882,6.24507042253521,78.1148269290033,3,1,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6743",2013,9,7,33,0,0,0,600,188,78,23,56,164,2,2,5,1,832,0,83,3,6,15,3.51,0.225961538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63,107,850000,1.22,3.94,3.46971596604567,15241.240931348,6.91442307692308,106.310187652559,0,0,1,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6744",2014,9,11,32,0,0,0,601,197,74,10,52,178,3,7,2,0,830,0,87,4,6,17,3.32445923460898,0.237349397590361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,73,101,3400000,1.24292845257903,2.83560732113145,3.14932369354289,15189.5192663031,7.23614457831325,84.8068247760937,0,0,2,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6745",2015,9,10,32,1,1,0,619,218,77,16,44,177,4,5,8,0,862,0,81,4,4,18,3.35864297253635,0.252900232018561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,76,93,5400000,1.26978998384491,3.19030694668821,3.66804506745031,13844.037767974,7.19582366589327,103.163843933149,0,0,3,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6746",2013,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92,94,2250000,0,1.2,-0.56,15032.1902189941,9.4,0,1,0,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6747",2015,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,81,106,1500000,3,7.7,10.7594125,15032.1902189941,2.4,0.74007811515686,1,0,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6748",1998,6,6,0,0,0,13,185,63,18,5,20,45,1,0,4,3,264,30,21,6,2,3,2.62702702702703,0.238636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,83,95,2500000,1.34594594594595,3.91351351351351,4.03137636977887,18080.1792408605,6.4,32.3854548920555,62,3,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
