"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR","l_GM","attendance.f","career","years_old","teamID.1","teamID.2","teamID.3","teamID.4","teamID.5","teamID.6","teamID.7","teamID.8","teamID.9","teamID.10","teamID.11","teamID.12","teamID.13","teamID.14","teamID.15","teamID.16","teamID.17","teamID.18","teamID.19","teamID.20","teamID.21","teamID.22","teamID.23","teamID.24","teamID.25","teamID.26","teamID.27","teamID.28","teamID.29","teamID.30","teamID.31","teamID.32","teamID.33","throws.1","throws.2","stint.1","stint.2","stint.3","stint.4"
"3131",2010,10,14,33,3,0,0,660,219,102,18,55,181,1,4,7,0,919,0,114,6,7,22,4.17272727272727,0.238302502720348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67,101,13500000,1.24545454545455,3.45,3.47713046072806,12101.6626042583,6.96692056583243,107.29073044758,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"8649",2003,10,7,1,0,0,0,294,80,28,6,46,80,10,3,3,2,422,14,40,9,3,9,2.57142857142857,0.18957345971564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84,109,325000,1.28571428571429,3.55714285714286,2.97314736193055,21193.1591772954,6.56587677725119,41.3193490847127,85,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"9241",2012,0,2,0,0,0,0,26,8,8,1,11,6,0,1,0,0,42,0,8,0,1,2,8.30769230769231,0.19047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,61,99,3e+06,2.19230769230769,7.12307692307692,7.67931085164835,5957.97200986876,3.97142857142857,7.52444776150346,10,2,14,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"918",2006,0,1,0,0,0,0,32,13,8,2,3,6,0,0,0,0,46,2,8,1,1,1,6.75,0.282608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,62,103,380000,1.5,5.35625,5.62841467391304,7629.16695591587,6.18260869565217,8.90010868643578,9,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"1139",2007,4,2,0,0,0,0,129,28,12,2,22,36,4,3,2,1,176,12,15,1,1,5,2.51162790697674,0.159090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,104,395000,1.16279069767442,3.52558139534884,2.36875364693446,20702.4481959077,6.49090909090909,13.8213643965059,47,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"5219",2012,6,8,22,0,0,0,376,133,59,19,38,110,0,0,1,2,543,0,78,2,5,6,4.23670212765957,0.244935543278085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,68,95,496400,1.36436170212766,4.34893617021277,4.37160691783237,11210.8706460966,6.96906077348066,85.0020161822229,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"2966",2004,1,0,2,0,0,0,60,19,9,4,8,14,1,0,3,0,89,0,9,1,1,0,4.05,0.213483146067416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67,104,240000,1.35,5.9,4.99081320224719,12838.7275633536,5.93932584269663,14.903015844203,4,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"7505",2006,16,8,33,0,0,0,612,181,97,21,70,141,2,10,11,2,846,0,106,4,10,19,4.27941176470588,0.213947990543735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,89,100,425000,1.23039215686275,4.31764705882353,3.50761284939508,11683.1402687932,6.27943262411348,102.207866049398,0,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"2075",2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,100,1500000,0,3.2,-0.56,15032.1902189941,5.4,0,1,3,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"428",2012,3,2,0,0,0,24,224,41,21,4,28,72,2,2,1,0,289,34,21,0,3,3,2.53125,0.141868512110727,1,0,1,2,0,0,0,1,5,3,1,0,1,2,1,0,0,0,8,2,1,0,1,1,5.4,0.375,0,0,1,94,97,4500000,0.924107142857143,3.05267857142857,1.50374681012111,19159.3319022353,7.26851211072664,19.0505158468024,75,0,11,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
