"","l_W","l_L","l_GS","l_CG","l_SHO","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_WP","l_HBP","l_BFP","l_R","l_SH","l_SF","l_GIDP","round","po_L","po_GS","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_BFP","po_R","GP","salary","kwERA","BSR","l_GM","attendance.f","career","b1.WHIP","b1.FIP","b1.kwERA","b1.BSR","b1.round","b1.l_GM","b2.WHIP","b2.kwERA","b2.BSR","b2.round"
"46",6,9,0,0,0,253,80,33,6,39,56,5,0,369,42,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2600000,5.95284552845528,43.0633755429131,66,2,5,1.35384615384615,4.44615384615385,6.74296028880866,40.2562598189831,0,52,1.55504587155963,6.63636363636364,45.0439830624232,0
"47",12,8,22,0,0,499,172,80,9,54,141,7,3,708,84,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2700000,6.84067796610169,79.7231794432702,21,3,6,1.41106719367589,4.18418972332016,5.95284552845528,43.0633755429131,0,66,1.35384615384615,6.74296028880866,40.2562598189831,0
"48",7,9,19,0,0,410,132,66,9,58,96,8,3,590,76,10,2,16,0,0,0,0,0,0,0,0,0,0,0,0,2900000,6.2135593220339,67.9730621054395,27,0,7,1.35871743486974,3.21803607214429,6.84067796610169,79.7231794432702,0,21,1.41106719367589,5.95284552845528,43.0633755429131,0
"49",1,4,0,0,0,204,68,20,1,23,51,4,2,284,22,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1700000,6.66760563380282,26.3987233335841,66,1,8,1.39024390243902,3.88048780487805,6.2135593220339,67.9730621054395,0,27,1.35871743486974,6.84067796610169,79.7231794432702,0
"50",6,4,0,0,0,210,84,37,10,28,56,8,2,316,39,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,5e+05,6.50126582278481,54.6269859677607,61,0,9,1.33823529411765,2.81764705882353,6.66760563380282,26.3987233335841,0,66,1.39024390243902,6.2135593220339,67.9730621054395,0
"51",0,2,0,0,0,40,25,19,3,10,4,0,4,77,19,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5e+05,4.15324675324675,21.0786369593709,16,2,10,1.6,4.61428571428571,6.50126582278481,54.6269859677607,0,61,1.33823529411765,6.66760563380282,26.3987233335841,0
"52",0,0,0,0,0,30,11,5,2,5,9,1,2,45,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,414000,5.93333333333333,8.74596730495094,7,2,3,1.44230769230769,4.46923076923077,6.21081081081081,22.0616480959585,0,10,1.47513812154696,5.85283018867925,34.8549010263819,0
"53",1,2,0,0,0,54,15,12,3,12,13,1,1,83,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,414000,5.4,12.7175480769231,13,2,4,1.6,6.1,5.93333333333333,8.74596730495094,0,7,1.44230769230769,6.21081081081081,22.0616480959585,0
"54",0,1,0,0,0,25,13,8,0,4,1,0,1,42,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,301000,4.82857142857143,6.18090544365925,5,1,2,1.53225806451613,5.37741935483871,6.55129151291513,55.1894902371904,0,50,1.60714285714286,3.97142857142857,5.84139841189188,0
"55",2,1,0,0,0,163,55,24,3,20,30,0,2,232,26,5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,301000,6.02068965517241,26.2794132837517,55,2,3,2.04,4.04,4.82857142857143,6.18090544365925,0,5,1.53225806451613,6.55129151291513,55.1894902371904,0
