"","yearID","stint","teamID","lgID","l_W","l_L","l_G","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","birthYear","birthCountry","throws","debut","GP","n_award","divID","Rank","G","W","attendance","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR"
"13",1999,1,4,2,6,2,25,7,0,0,0,218,50,25,9,32,68,3,2,0,0,298,8,31,3,4,3,3.09633027522936,0.167785234899329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,1,1,1990,0,0,1,3,162,79,2916346,103,235000,1.12844036697248,4.13577981651376,2.64611322116865,15837.5849945718,6.97046979865772,33.9833610648918
"14",2000,1,4,2,9,7,35,27,0,0,0,537,164,84,23,80,100,4,3,5,0,766,2,89,1,4,20,4.22346368715084,0.214099216710183,1,1,1,2,2,0,0,0,32,8,4,1,6,4,0,0,1,0,46,0,5,0,1,1,3.375,0.173913043478261,1967,1,1,1990,0,0,1,2,162,91,2914624,93,285000,1.36312849162011,5.11061452513967,4.09364454359146,10483.6665040844,5.6976501305483,107.632044071843
"15",2001,1,4,2,17,4,28,27,1,0,0,489,145,77,21,87,118,5,11,7,0,710,0,79,3,5,11,4.25153374233129,0.204225352112676,1,0,0,2,1,0,0,0,24,9,8,3,13,5,0,0,0,0,43,0,8,1,0,0,9,0.209302325581395,1967,1,1,1990,0,0,1,1,162,116,3507326,93,1700000,1.42331288343558,5.06503067484663,4.33010603819234,10414.4498130975,5.89014084507042,100.490198113393
"16",2002,1,4,2,1,3,7,5,0,0,0,79,40,35,5,20,22,0,2,1,0,137,1,36,1,1,0,11.9620253164557,0.291970802919708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,1,1,1990,0,0,1,3,162,93,3542938,95,3425000,2.27848101265823,6.38987341772152,9.887371592904,3781.09771673711,5.48759124087591,32.8146453089245
"17",2004,2,10,2,3,11,20,19,0,0,0,288,106,69,22,58,46,1,6,4,0,451,0,76,1,1,3,6.46875,0.235033259423503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,1,1,1990,0,0,3,4,161,70,1274911,98,6e+05,1.70833333333333,7.12708333333333,6.64462272727273,7212.81381205107,5.00088691796009,94.0664510278011
"18",2006,2,1,1,2,4,65,0,0,0,3,207,76,41,7,20,54,5,4,1,1,297,27,42,1,4,3,5.34782608695652,0.255892255892256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2005,0,0,1,3,161,76,3130313,100,330000,1.39130434782609,3.64927536231884,4.16644108476065,8902.69997489816,6.93535353535354,41.2546913570693
"19",2007,1,11,2,4,4,64,0,0,0,30,202,51,16,4,24,57,2,0,2,1,275,48,19,0,1,3,2.13861386138614,0.185454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2005,0,0,3,3,162,83,2360644,99,392200,1.11386138613861,3.34851485148515,2.44067066336634,22039.5047041623,6.84,23.9804101413985
"20",2008,1,11,2,0,3,16,0,0,0,4,37,15,9,1,4,5,2,1,1,0,56,6,10,0,1,3,6.56756756756757,0.267857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2005,0,0,3,4,162,86,2399786,97,392200,1.54054054054054,4.17297297297297,4.88099517374518,7031.79494689366,5.82857142857143,7.84958771680409
"21",2010,1,11,2,0,1,5,0,0,0,0,20,12,6,0,3,3,0,2,1,0,34,2,6,0,0,2,8.1,0.352941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2005,0,0,3,4,162,85,1625555,100,1080000,2.25,4.1,9.37816,5877.78903334661,5.04705882352941,5.9386364460124
"22",2011,1,12,2,3,3,31,0,0,0,0,113,43,24,5,18,23,4,0,1,0,167,7,24,2,0,4,5.73451327433628,0.25748502994012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2005,0,0,3,5,162,69,1755461,97,1080000,1.61946902654867,4.89911504424779,5.52924929256531,8053.30569931403,5.9748502994012,28.3990211713955
