"","yearID","stint","teamID","lgID","l_W","l_L","l_G","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","birthYear","birthCountry","throws","debut","GP","n_award","divID","Rank","G","W","attendance","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR"
"1589",2001,1,15,2,2,5,66,0,0,0,0,188,51,30,7,49,66,5,4,4,0,279,16,34,1,3,8,4.30851063829787,0.182795698924731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,1,2,1995,0,0,3,5,162,62,1298365,100,260000,1.59574468085106,4.8436170212766,4.84409910775566,11902.873910306,6.1741935483871,38.8603364475927
"1590",2002,2,15,2,3,2,52,0,0,0,0,167,57,36,10,35,56,2,4,7,0,262,17,37,1,1,3,5.82035928143713,0.217557251908397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,1,2,1995,0,0,3,5,161,55,1065742,99,685000,1.65269461077844,5.67904191616767,6.19041242972071,8722.97049464048,6.13282442748092,46.5207800614737
"1591",2003,1,16,2,0,0,21,0,0,0,0,41,14,5,2,12,11,3,2,2,0,69,3,6,0,2,0,3.29268292682927,0.202898550724638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,1,2,1995,0,0,3,3,162,86,1799458,104,700000,1.90243902439024,5.90731707317073,6.57066468716861,16198.0386234718,5.4,11.7624930100147
"1592",2005,1,22,2,0,0,20,0,0,0,0,67,27,17,7,7,18,0,0,0,0,101,8,18,1,1,0,6.85074626865672,0.267326732673267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,1,2,1995,0,0,2,4,162,71,2024431,98,700000,1.52238805970149,6.60298507462687,6.38285828284321,7336.1329876473,6.70693069306931,24.4286131066178
"1593",2002,1,12,2,0,1,23,0,0,0,0,96,40,21,6,19,22,4,1,1,0,154,4,25,1,2,2,5.90625,0.25974025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,1,1,2000,0,0,2,1,161,94,1924473,100,222500,1.84375,5.7625,6.92376663961039,8682.94753335393,5.86753246753247,31.4667959098339
"1594",2003,1,18,2,2,1,33,0,0,0,0,129,40,12,1,9,28,1,1,2,0,174,8,12,4,0,3,2.51162790697674,0.229885057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,1,1,2000,0,0,2,4,162,68,1730002,97,222500,1.13953488372093,2.89767441860465,2.67429055733761,19805.9389946355,6.64137931034483,14.2357132271634
"1595",2004,1,18,2,0,1,11,0,0,0,0,47,22,11,4,10,8,2,0,0,0,78,1,11,1,1,0,6.31914893617021,0.282051282051282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,1,1,2000,0,0,2,3,162,80,1814401,94,322400,2.04255319148936,7.02978723404255,8.59026906710311,7628.66009705976,5.4,19.6060053805433
"1596",2015,1,18,2,0,0,31,0,0,0,0,53,17,8,1,7,15,0,0,1,0,74,4,9,0,2,4,4.07547169811321,0.22972972972973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,1,2,2014,0,0,2,3,161,81,1388905,106,510900,1.35849056603774,3.59622641509434,3.89947475777664,13338.4997928389,6.53513513513514,8.26988315518469
"1597",2016,1,18,2,0,0,29,0,0,0,0,48,16,9,0,7,17,2,1,0,1,70,4,9,0,1,1,5.0625,0.228571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,1,2,2014,0,0,2,1,161,94,1591667,109,510900,1.4375,2.0125,3.26048071428571,11041.8149465817,7.45714285714286,6.2236182279035
"1598",2011,1,31,1,0,1,15,0,0,0,0,32,20,11,2,5,7,0,1,0,0,56,1,11,0,0,0,9.28125,0.357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,1,1,2011,0,0,2,4,162,72,1940429,97,414000,2.34375,5.73125,10.749677734375,5359.74670467938,5.82857142857143,14.4950810865259
